"var","species","median","qmin","qmax"
"2000","Aeshna_affinis",-0.57257,-0.89796,-0.2554
"2001","Aeshna_affinis",-0.69664,-0.99666,-0.38097
"2002","Aeshna_affinis",-0.86016,-1.16791,-0.56162
"2003","Aeshna_affinis",-0.26688,-0.55371,0.00862
"2004","Aeshna_affinis",0.04725,-0.1946,0.26813
"2005","Aeshna_affinis",0.05112,-0.17055,0.277
"2006","Aeshna_affinis",0.58351,0.39174,0.77959
"2007","Aeshna_affinis",-0.31066,-0.52649,-0.09917
"2008","Aeshna_affinis",-0.31793,-0.50842,-0.12894
"2009","Aeshna_affinis",0.1715,0.01453,0.33979
"2010","Aeshna_affinis",0.61632,0.484,0.75428
"2011","Aeshna_affinis",-0.64239,-0.79119,-0.48665
"2012","Aeshna_affinis",-0.70704,-0.83071,-0.57901
"2013","Aeshna_affinis",0.00356,-0.11682,0.1217
"2014","Aeshna_affinis",-0.35734,-0.47966,-0.2353
"2015","Aeshna_affinis",-0.52706,-0.64749,-0.41644
"2016","Aeshna_affinis",-0.20265,-0.3109,-0.0939
"2017","Aeshna_affinis",-0.34979,-0.46719,-0.22966
"2018","Aeshna_affinis",0.71127,0.61252,0.80773
"2019","Aeshna_affinis",0.89986,0.79818,0.99799
"2020","Aeshna_affinis",1.00237,0.88999,1.10622
"2021","Aeshna_affinis",0.57197,0.45815,0.68293
"2022","Aeshna_affinis",-0.05091,-0.17675,0.07556
"2023","Aeshna_affinis",0.42822,0.30002,0.54857
"clc_artificial_prop","Aeshna_affinis",-0.07649,-0.14748,-0.00349
"clc_agriculture_prop","Aeshna_affinis",-0.12838,-0.24114,-0.01672
"clc_forest_prop","Aeshna_affinis",-0.59085,-0.71684,-0.46852
"clc_vegetation_prop","Aeshna_affinis",-0.36774,-0.50442,-0.21934
"clc_bare_prop","Aeshna_affinis",1.65726,1.37607,1.92569
"clc_coastal_wetland_prop","Aeshna_affinis",0.16008,0.08663,0.24016
"clc_wetland_prop","Aeshna_affinis",-0.68063,-0.87467,-0.49419
"clc_river_prop","Aeshna_affinis",0.02013,-0.03386,0.07519
"bio10_temp_warmQ_dC","Aeshna_affinis",4.90413,4.62296,5.19792
"bio12_annual_prec_mm","Aeshna_affinis",0.0783,-0.11004,0.24488
"bio4_sd_temp","Aeshna_affinis",0.28513,0.12614,0.4591
"bio10_temp_warmQ_dC2","Aeshna_affinis",-2.72899,-2.94069,-2.5341
"bio12_annual_prec_mm2","Aeshna_affinis",-0.0321,-0.15106,0.08864
"bio4_sd_temp2","Aeshna_affinis",-0.39303,-0.53373,-0.2613
"2000","Aeshna_caerulea",0.3291,-0.33335,0.92643
"2001","Aeshna_caerulea",-0.36804,-1.23611,0.43016
"2002","Aeshna_caerulea",0.15989,-0.6425,0.87091
"2003","Aeshna_caerulea",-0.86676,-1.7552,-0.10148
"2004","Aeshna_caerulea",-0.74091,-1.48215,-0.04079
"2005","Aeshna_caerulea",-0.02399,-0.65591,0.59454
"2006","Aeshna_caerulea",-0.01939,-0.50986,0.45224
"2007","Aeshna_caerulea",-0.03361,-0.47164,0.40994
"2008","Aeshna_caerulea",0.15904,-0.25043,0.55268
"2009","Aeshna_caerulea",0.52187,0.18917,0.8438
"2010","Aeshna_caerulea",0.0292,-0.32709,0.37085
"2011","Aeshna_caerulea",0.11425,-0.29415,0.50001
"2012","Aeshna_caerulea",-0.07559,-0.44063,0.2685
"2013","Aeshna_caerulea",0.70147,0.37675,1.01722
"2014","Aeshna_caerulea",0.12635,-0.24937,0.51749
"2015","Aeshna_caerulea",-0.10736,-0.4446,0.20996
"2016","Aeshna_caerulea",0.51039,0.20944,0.81321
"2017","Aeshna_caerulea",0.13488,-0.18665,0.4458
"2018","Aeshna_caerulea",0.22747,-0.04059,0.48693
"2019","Aeshna_caerulea",-0.25122,-0.56997,0.0519
"2020","Aeshna_caerulea",-0.08442,-0.36158,0.19883
"2021","Aeshna_caerulea",0.07576,-0.19954,0.34673
"2022","Aeshna_caerulea",-0.10791,-0.3918,0.157
"2023","Aeshna_caerulea",-0.29164,-0.59003,-0.01672
"clc_artificial_prop","Aeshna_caerulea",0.03863,-0.26847,0.35297
"clc_agriculture_prop","Aeshna_caerulea",-0.66943,-1.10096,-0.2608
"clc_forest_prop","Aeshna_caerulea",0.84412,0.6149,1.10961
"clc_vegetation_prop","Aeshna_caerulea",0.31762,0.07762,0.57411
"clc_bare_prop","Aeshna_caerulea",-1.72691,-1.96225,-1.50088
"clc_coastal_wetland_prop","Aeshna_caerulea",0.26002,-0.29535,0.59519
"clc_wetland_prop","Aeshna_caerulea",0.85002,0.70979,0.98945
"clc_river_prop","Aeshna_caerulea",0.1198,-0.04589,0.24447
"bio10_temp_warmQ_dC","Aeshna_caerulea",-6.98982,-8.2658,-5.82666
"bio12_annual_prec_mm","Aeshna_caerulea",0.35188,0.01467,0.69284
"bio4_sd_temp","Aeshna_caerulea",2.25845,1.96491,2.56061
"bio10_temp_warmQ_dC2","Aeshna_caerulea",0.88717,0.22291,1.53344
"bio12_annual_prec_mm2","Aeshna_caerulea",0.10434,0.03326,0.18133
"bio4_sd_temp2","Aeshna_caerulea",-0.26563,-0.42026,-0.10642
"2000","Aeshna_cyanea",-0.0814,-0.18048,0.07662
"2001","Aeshna_cyanea",0.26405,0.15527,0.52188
"2002","Aeshna_cyanea",0.02368,-0.123,0.12562
"2003","Aeshna_cyanea",0.37624,0.2825,0.82448
"2004","Aeshna_cyanea",-0.12259,-0.28147,-0.03602
"2005","Aeshna_cyanea",0.1936,0.11891,0.38055
"2006","Aeshna_cyanea",0.07487,-0.00203,0.17441
"2007","Aeshna_cyanea",-0.12204,-0.19171,0.03766
"2008","Aeshna_cyanea",-0.09086,-0.20164,-0.02892
"2009","Aeshna_cyanea",-0.02182,-0.07836,0.10715
"2010","Aeshna_cyanea",-0.02495,-0.17768,0.02931
"2011","Aeshna_cyanea",-0.09651,-0.14591,0.07104
"2012","Aeshna_cyanea",0.06922,-0.12855,0.12231
"2013","Aeshna_cyanea",0.28435,0.13853,0.33924
"2014","Aeshna_cyanea",0.07635,0.0281,0.26086
"2015","Aeshna_cyanea",0.10761,0.06138,0.19477
"2016","Aeshna_cyanea",0.08978,-0.15209,0.14034
"2017","Aeshna_cyanea",0.0302,-0.03615,0.07776
"2018","Aeshna_cyanea",-0.01852,-0.07776,0.02497
"2019","Aeshna_cyanea",-0.18043,-0.42466,-0.13295
"2020","Aeshna_cyanea",-0.12373,-0.17786,-0.07727
"2021","Aeshna_cyanea",-0.1471,-0.39428,-0.09851
"2022","Aeshna_cyanea",-0.13349,-0.18138,-0.06363
"2023","Aeshna_cyanea",-0.27208,-0.43526,-0.22031
"clc_artificial_prop","Aeshna_cyanea",0.20259,0.15852,0.4045
"clc_agriculture_prop","Aeshna_cyanea",0.24164,0.18807,0.46658
"clc_forest_prop","Aeshna_cyanea",-0.06269,-0.15322,-0.00897
"clc_vegetation_prop","Aeshna_cyanea",-0.16631,-0.39318,-0.10147
"clc_bare_prop","Aeshna_cyanea",0.47528,0.38435,0.63353
"clc_coastal_wetland_prop","Aeshna_cyanea",-0.09066,-0.19029,-0.0478
"clc_wetland_prop","Aeshna_cyanea",-0.50422,-0.65168,-0.44154
"clc_river_prop","Aeshna_cyanea",-0.10699,-0.18707,-0.069
"bio10_temp_warmQ_dC","Aeshna_cyanea",-0.64355,-0.78642,-0.55631
"bio12_annual_prec_mm","Aeshna_cyanea",0.65725,0.57287,0.96086
"bio4_sd_temp","Aeshna_cyanea",0.21113,0.13286,0.28448
"bio10_temp_warmQ_dC2","Aeshna_cyanea",-0.87419,-1.35556,-0.79714
"bio12_annual_prec_mm2","Aeshna_cyanea",-0.14673,-0.2225,-0.11695
"bio4_sd_temp2","Aeshna_cyanea",-0.53142,-0.89433,-0.47862
"2000","Aeshna_grandis",0.66503,0.46525,0.87288
"2001","Aeshna_grandis",0.88898,0.6728,1.08413
"2002","Aeshna_grandis",0.13175,-0.05829,0.3246
"2003","Aeshna_grandis",0.79075,0.61733,0.95902
"2004","Aeshna_grandis",-0.12549,-0.28588,0.03102
"2005","Aeshna_grandis",0.74115,0.5821,0.89403
"2006","Aeshna_grandis",-0.18045,-0.33208,-0.03147
"2007","Aeshna_grandis",0.29472,0.15313,0.4389
"2008","Aeshna_grandis",-0.05051,-0.18703,0.07479
"2009","Aeshna_grandis",0.32172,0.20233,0.43567
"2010","Aeshna_grandis",-0.03349,-0.14229,0.0791
"2011","Aeshna_grandis",0.53446,0.41731,0.65294
