"species","year","country","mean"
"Aeshna_affinis",2000,"Austria",0.0415
"Aeshna_affinis",2000,"Belgium",0.02109
"Aeshna_affinis",2000,"Cyprus",0.00188
"Aeshna_affinis",2000,"Czechia",0.14633
"Aeshna_affinis",2000,"Denmark",0.00703
"Aeshna_affinis",2000,"Finland",0.00028
"Aeshna_affinis",2000,"France",0.2379
"Aeshna_affinis",2000,"Ireland",0.00048
"Aeshna_affinis",2000,"Isle of Man",3e-05
"Aeshna_affinis",2000,"Italy",0.13891
"Aeshna_affinis",2000,"Luxembourg",0.07977
"Aeshna_affinis",2000,"Netherlands",0.01023
"Aeshna_affinis",2000,"Norway",0.00014
"Aeshna_affinis",2000,"Portugal",0.0798
"Aeshna_affinis",2000,"Slovenia",0.19234
"Aeshna_affinis",2000,"Spain",0.06327
"Aeshna_affinis",2000,"Sweden",0.00092
"Aeshna_affinis",2000,"Switzerland",0.06977
"Aeshna_affinis",2000,"United Kingdom",0.00222
"Aeshna_affinis",2000,"All",0.07779
"Aeshna_affinis",2001,"Austria",0.03811
"Aeshna_affinis",2001,"Belgium",0.01876
"Aeshna_affinis",2001,"Cyprus",0.00163
"Aeshna_affinis",2001,"Czechia",0.13582
"Aeshna_affinis",2001,"Denmark",0.00625
"Aeshna_affinis",2001,"Finland",0.00024
"Aeshna_affinis",2001,"France",0.22286
"Aeshna_affinis",2001,"Ireland",0.00044
"Aeshna_affinis",2001,"Isle of Man",3e-05
"Aeshna_affinis",2001,"Italy",0.12868
"Aeshna_affinis",2001,"Luxembourg",0.06574
"Aeshna_affinis",2001,"Netherlands",0.00914
"Aeshna_affinis",2001,"Norway",0.00012
"Aeshna_affinis",2001,"Portugal",0.07326
"Aeshna_affinis",2001,"Slovenia",0.18223
"Aeshna_affinis",2001,"Spain",0.05767
"Aeshna_affinis",2001,"Sweden",8e-04
"Aeshna_affinis",2001,"Switzerland",0.06314
"Aeshna_affinis",2001,"United Kingdom",0.00214
"Aeshna_affinis",2001,"All",0.07233
"Aeshna_affinis",2002,"Austria",0.03347
"Aeshna_affinis",2002,"Belgium",0.01608
"Aeshna_affinis",2002,"Cyprus",0.00135
"Aeshna_affinis",2002,"Czechia",0.12275
